ticker,discount,sector,risk,current_price
MMM,0.3225449762083246,Industrials,0.03171726609285773,147.77999877929688
ABT,0.28150285268422476,Health Care,0.03292992349279186,86.04000091552734
ABBV,0.2718192116556554,Health Care,0.02919523388873263,79.75
ABMD,0.2807286090240478,Health Care,0.033420388837729235,160.0800018310547
ACN,0.3137773033671511,Information Technology,0.03516219242688139,177.9199981689453
ATVI,0.1385659528936583,Communication Services,0.030769125771627916,60.459999084472656
ADBE,0.1887044912828809,Information Technology,0.03952393735619875,318.70001220703125
AMD,0.21184974006913174,Information Technology,0.045275651508776715,48.380001068115234
AAP,0.5075481447575302,Consumer Discretionary,0.04172844814873019,106.86000061035156
AES,0.5272523834126603,Utilities,0.0475968744123066,14.720000267028809
AFL,0.5186909287585625,Financials,0.05147730426529616,38.08000183105469
A,0.2563085081466259,Health Care,0.03178462138159454,78.33000183105469
APD,0.2547283169745481,Materials,0.03806043026020571,219.32000732421875
AKAM,0.15993279583424966,Information Technology,0.030268403485410742,95.38999938964844
ALK,0.6455837910791232,Industrials,0.05602749023565676,31.610000610351562
ALB,0.3737960192436996,Materials,0.04597782342352965,67.0199966430664
ARE,0.29821986581964005,Real Estate,0.037941557532878444,157.8000030517578
ALXN,0.3099228551124895,Health Care,0.029427626696182384,96.2300033569336
ALGN,0.49949122121963113,Health Care,0.05100313438820519,193.19000244140625
ALLE,0.3837778605540865,Industrials,0.03670613401897522,95.36000061035156
AGN,0.1418465675077926,Health Care,0.018335042093367542,182.1999969482422
ADS,0.7935425594347367,Information Technology,0.07724136742274312,38.58000183105469
LNT,0.31019013426059977,Utilities,0.034149993578648785,53.13999938964844
ALL,0.37394216738441843,Financials,0.037417485528216145,100.33999633789062
GOOGL,0.2700259470151211,Communication Services,0.030885715381039704,1206.5699462890625
GOOG,0.26883072697497745,Communication Services,0.030630259593981166,1211.449951171875
MO,0.37120532245217575,Consumer Staples,0.03010139725752102,40.90999984741211
AMZN,0.14916323704286102,Consumer Discretionary,0.025247978243430672,2042.760009765625
AMCR,0.44006292915150674,Materials,0.04205226794681537,9.15999984741211
AEE,0.24898671554482735,Utilities,0.04002052064194343,79.0
AAL,0.6669128308496517,Industrials,0.07168916183986981,12.510000228881836
AEP,0.2978503792643685,Utilities,0.034146120227484325,86.30999755859375
AXP,0.4717530373280352,Financials,0.05226856643844159,94.81999969482422
AIG,0.6313450407393775,Financials,0.05676940255714388,26.540000915527344
AMT,0.24696732570851557,Real Estate,0.03962269763808519,259.6000061035156
AWK,0.28068212395863673,Utilities,0.040177863830119745,131.75
AMP,0.5062071122923042,Financials,0.06175066360710785,120.47000122070312
ABC,0.17741307031793288,Health Care,0.03660997666148591,87.80999755859375
AME,0.41725433930531014,Industrials,0.04158838486382658,78.2300033569336
AMGN,0.2269989834819498,Health Care,0.031617256362799544,218.2100067138672
APH,0.35937104438237505,Information Technology,0.03339271869843362,81.91000366210938
ADI,0.30427602114705576,Information Technology,0.04438841566980017,98.79000091552734
ANSS,0.25117198829772075,Information Technology,0.039902126336828554,237.9199981689453
ANTM,0.41188079269262207,Health Care,0.04817155677893632,242.4600067138672
AON,0.32692126076235767,Financials,0.034613930589125236,192.0500030517578
AOS,0.2546692329750403,Industrials,0.026843500322540077,40.209999084472656
APA,0.8572569908729855,Energy,0.10308115388504767,8.199999809265137
AIV,0.519525559880213,Real Estate,0.049443902201783865,39.970001220703125
AAPL,0.2826413401111165,Information Technology,0.03704579296067002,267.989990234375
AMAT,0.3834376708936808,Information Technology,0.05033447979358669,49.59000015258789
APTV,0.6358433714237116,Consumer Discretionary,0.06376042056621892,62.22999954223633
ADM,0.3483574702741716,Consumer Staples,0.03253864562203881,37.58000183105469
ARNC,0.8019292745930025,Industrials,0.09162201788998137,10.789999961853027
ANET,0.29169534912414274,Information Technology,0.0380298237497301,209.91000366210938
AJG,0.31856362019207385,Financials,0.036107011968035604,86.83999633789062
AIZ,0.39024677750527537,Financials,0.040284892852031164,112.38999938964844
T,0.3034804439697589,Communication Services,0.030814846244768213,30.729999542236328
ATO,0.30295693281908226,Utilities,0.03685902634245421,105.19999694824219
ADSK,0.30127413125824043,Information Technology,0.042021049536957775,164.89999389648438
ADP,0.37069364274825073,Information Technology,0.03845187166824088,142.52000427246094
AZO,0.3781333929524063,Consumer Discretionary,0.03911179540779887,940.8300170898438
AVB,0.44300304243943617,Real Estate,0.042801753331962955,167.36000061035156
AVY,0.40025052314340887,Materials,0.04234455821889112,115.02999877929688
BKR,0.6011977665036076,Energy,0.05708755668637687,12.859999656677246
BLL,0.2942403138198159,Materials,0.034604353813505066,69.94000244140625
BAC,0.4761663294130793,Financials,0.04699968354738245,24.860000610351562
BK,0.4475455916385361,Financials,0.03932231040213893,37.13999938964844
BAX,0.20209751690375674,Health Care,0.03303898412357732,86.88999938964844
BDX,0.2627583522192973,Health Care,0.030280506302528692,247.4499969482422
BBY,0.4229228925036336,Consumer Discretionary,0.041604488524117224,65.98999786376953
BIIB,0.1493232611188359,Health Care,0.037650307362947284,321.04998779296875
BLK,0.3772601883548823,Financials,0.04351644684170419,471.4200134277344
BA,0.7152870655999866,Industrials,0.06958498075077077,151.83999633789062
BKNG,0.4223101333754481,Consumer Discretionary,0.0377043470842179,1420.6400146484375
BWA,0.5311294247889897,Consumer Discretionary,0.03868205894552963,25.739999771118164
BXP,0.44432952285244015,Real Estate,0.04123378177772725,106.0
BSX,0.41398674689697507,Health Care,0.034034314738911726,36.83000183105469
BMY,0.2826220823215107,Health Care,0.024019338702468838,58.90999984741211
